Id,SalePrice_pred
1461,105075.21
1462,146180.24
1463,174686.14
1464,191266.64
1465,196282.01
1466,173989.08
1467,185522.18
1468,161776.91
1469,201442.74
1470,119948.94
1471,184143.46
1472,102322.52
1473,88125.5
1474,149219.08
1475,108309.27
1476,351197.73
1477,247696.32
1478,313207.83
1479,315902.02
1480,436127.28
1481,306214.19
1482,223226.84
1483,172712.5
1484,175650.85
1485,205805.49
1486,200791.09
1487,321019.43
1488,237360.72
1489,187795.59
1490,240757.36
1491,201368.51
1492,87774.42
1493,220491.43
1494,294160.26
1495,273874.9
1496,249496.93
1497,170177.68
1498,168646.2
1499,165867.19
1500,156543.91
1501,195793.04
1502,151940.21
1503,284039.14
1504,244574.23
1505,220545.59
1506,197397.43
1507,241609.36
1508,195668.96
1509,157859.61
1510,140666.91
1511,151380.49
1512,172819.51
1513,159817.57
1514,146077.3
1515,200773.25
1516,161257.67
1517,164579.61
1518,114904.85
1519,217457.17
1520,122710.82
1521,115923.92
1522,191275.88
1523,98617.94
1524,123688.66
1525,108209.15
1526,99873.09
1527,99150.27
1528,139332.02
1529,143642.87
1530,229151.35
1531,144283.8
1532,108332.05
1533,151294.29
1534,129494.45
1535,130788.14
1536,91834.09
1537,35485.06
1538,162262.68
1539,216148.77
1540,118167.95
1541,142120.82
1542,127890.01
1543,181407.58
1544,87950.64
1545,122837.26
1546,147210.99
1547,126872.98
1548,148701.32
1549,129382.48
1550,147104.86
1551,105278.82
1552,155921.9
1553,159357.18
1554,118028.88
1555,139294.06
1556,83412.24
1557,105362.21
1558,106371.62
1559,81459.63
1560,129295.16
1561,125242.52
1562,126601.66
1563,124816.34
1564,147688.75
1565,143886.35
1566,244077.7
1567,64917.1
1568,235318.64
1569,112557.66
1570,140550.58
1571,90370.51
1572,138594.61
1573,231756.68
1574,130815.33
1575,232815.33
1576,249315.1
1577,188653.83
1578,152586.67
1579,134076.55
1580,196592.98
1581,164397.86
1582,137175.67
1583,271109.59
1584,223749.97
1585,142793.54
1586,52682.13
1587,107827.85
1588,158729.85
1589,100019.92
1590,122405.16
1591,83676.25
1592,112143.26
1593,145224.3
1594,152523.79
1595,108505.66
1596,215614.32
1597,189180.64
1598,212320.94
1599,198058.5
1600,187731.67
1601,48787.75
1602,121314.66
1603,84011.05
1604,274835.84
1605,243627.77
1606,158013.18
1607,167481.19
1608,223523.9
1609,187297.52
1610,154555.27
1611,138911.13
1612,182011.03
1613,164830.71
1614,151682.81
1615,99259.96
1616,67987.74
1617,83716.56
1618,119016.29
1619,151609.65
1620,174531.94
1621,127397.68
1622,162378.46
